stars,forks,issues,watchers,age_days,commit_gap,issue_ratio,fork_ratio,activity,label
989,179,17,20,2835,2334,0.01717171717171717,0.1808080808080808,0.00042826552462526765,0
989,258,6,38,2902,2411,0.006060606060606061,0.2606060606060606,0.00041459369817578774,0
989,244,10,44,2845,1,0.010101010101010102,0.24646464646464647,0.5,0
989,245,555,39,4792,14,0.5606060606060606,0.2474747474747475,0.06666666666666667,0
989,452,11,86,3269,3266,0.011111111111111112,0.45656565656565656,0.00030609121518212427,0
990,110,158,19,1144,0,0.15943491422805248,0.11099899091826437,1.0,0
989,313,1,5,1095,377,0.00101010101010101,0.31616161616161614,0.0026455026455026454,0
989,68,29,11,1015,633,0.029292929292929294,0.06868686868686869,0.0015772870662460567,0
32,16,0,1,2112,80,0.0,0.48484848484848486,0.012345679012345678,1
21,1,0,2,1471,1102,0.0,0.045454545454545456,0.0009066183136899365,1
35,12,4,6,2388,74,0.1111111111111111,0.3333333333333333,0.013333333333333334,1
22,1,0,1,1224,22,0.0,0.043478260869565216,0.043478260869565216,1
5,2,0,1,724,579,0.0,0.3333333333333333,0.0017241379310344827,1
23,1,0,1,1007,221,0.0,0.041666666666666664,0.0045045045045045045,1
9,3,0,1,345,4,0.0,0.3,0.2,1
19,0,0,1,458,306,0.0,0.0,0.003257328990228013,1
322,54,0,15,1488,35,0.0,0.16718266253869968,0.027777777777777776,1
3,2,0,1,472,472,0.0,0.5,0.0021141649048625794,1
5,2,0,2,169,161,0.0,0.3333333333333333,0.006172839506172839,1
3,2,0,1,757,754,0.0,0.5,0.0013245033112582781,1
10,1,0,1,1616,449,0.0,0.09090909090909091,0.0022222222222222222,1
13,0,0,1,1391,307,0.0,0.0,0.003246753246753247,1
12,1,0,1,599,599,0.0,0.07692307692307693,0.0016666666666666668,1
702,116,6,28,2200,786,0.008534850640113799,0.16500711237553342,0.0012706480304955528,1
18,0,0,1,648,606,0.0,0.0,0.0016474464579901153,1
3,2,0,1,1373,1091,0.0,0.5,0.0009157509157509158,1
8,0,0,1,347,347,0.0,0.0,0.0028735632183908046,1
4,1,0,1,918,423,0.0,0.2,0.0023584905660377358,1
6,1,0,1,1039,955,0.0,0.14285714285714285,0.0010460251046025104,1
7,0,0,1,655,517,0.0,0.0,0.0019305019305019305,1
13,0,1,1,940,940,0.07142857142857142,0.0,0.0010626992561105207,1
13,0,0,1,945,944,0.0,0.0,0.0010582010582010583,1
6,0,0,1,1887,554,0.0,0.0,0.0018018018018018018,1
5,0,0,1,1148,654,0.0,0.0,0.0015267175572519084,1
8,0,0,1,479,466,0.0,0.0,0.0021413276231263384,1
5,0,0,1,580,184,0.0,0.0,0.005405405405405406,1
6,1,0,1,578,559,0.0,0.14285714285714285,0.0017857142857142857,1
8,0,0,1,614,614,0.0,0.0,0.0016260162601626016,1
17,1,0,1,525,525,0.0,0.05555555555555555,0.0019011406844106464,1
5,0,0,0,104,104,0.0,0.0,0.009523809523809525,1
9,0,0,1,975,975,0.0,0.0,0.0010245901639344263,1
4,0,0,1,325,322,0.0,0.0,0.0030959752321981426,1
5,0,0,1,556,556,0.0,0.0,0.0017953321364452424,1
3,2,0,1,1107,1107,0.0,0.5,0.0009025270758122744,1
6,0,0,1,696,21,0.0,0.0,0.045454545454545456,1
4,0,0,1,1097,480,0.0,0.0,0.002079002079002079,1
8,0,0,1,938,587,0.0,0.0,0.0017006802721088435,1
0,2,0,1,1081,938,0.0,2.0,0.0010649627263045794,1
3,0,0,1,1165,1160,0.0,0.0,0.0008613264427217916,1
6,0,0,1,877,696,0.0,0.0,0.0014347202295552368,1
4,0,0,1,517,515,0.0,0.0,0.001937984496124031,1
5,0,0,1,236,236,0.0,0.0,0.004219409282700422,1
5,1,0,0,179,33,0.0,0.16666666666666666,0.029411764705882353,1
3,2,0,1,1761,703,0.0,0.5,0.0014204545454545455,1
6,0,0,1,1604,481,0.0,0.0,0.002074688796680498,1
3,0,0,1,1091,1091,0.0,0.0,0.0009157509157509158,1
15,3,0,1,537,242,0.0,0.1875,0.00411522633744856,1
4,1,0,2,497,419,0.0,0.2,0.002380952380952381,1
5,0,0,1,863,862,0.0,0.0,0.0011587485515643105,1
9,0,0,1,1235,801,0.0,0.0,0.0012468827930174563,1
3,0,0,1,357,357,0.0,0.0,0.002793296089385475,1
4,0,0,1,978,975,0.0,0.0,0.0010245901639344263,1
